iter	MultiClass
0	1.247151872
1	1.147126119
2	1.070404442
3	1.010003017
4	0.9618319491
5	0.9221214158
6	0.8888354948
7	0.8602019455
8	0.8363845058
9	0.8155842743
10	0.7976854506
11	0.7820968824
12	0.7685274935
13	0.7578647146
14	0.7473336351
15	0.7380687844
16	0.7298124839
17	0.7226200602
18	0.7163327533
19	0.7104655792
20	0.7053450215
21	0.7005949222
22	0.6964666109
23	0.6937747598
24	0.6903772193
25	0.6872789305
26	0.6853206519
27	0.6827317859
28	0.6806094516
29	0.6788301629
30	0.6768483739
31	0.6756714004
32	0.6741456102
33	0.6726988173
34	0.6713064837
35	0.6702379811
36	0.6690785447
37	0.667973633
38	0.6671137525
39	0.6665635892
40	0.6657710763
41	0.665015585
42	0.6646528968
43	0.6638656992
44	0.6635130166
45	0.6631930775
46	0.6629606565
47	0.6625032292
48	0.6618609069
49	0.661410957
50	0.6610033961
51	0.6607744119
52	0.660639909
53	0.6604013247
54	0.6600944322
55	0.6598114759
56	0.6595155901
57	0.6594245725
58	0.659196513
59	0.6590862396
60	0.6588902671
61	0.6586929687
62	0.6585247847
63	0.6582390165
64	0.6580418464
65	0.6578071071
66	0.6576701398
67	0.657495476
68	0.6574220468
69	0.6572880273
70	0.6572278828
71	0.6571517067
72	0.6570330752
73	0.6569700938
74	0.6567546831
75	0.6566258669
76	0.656198287
77	0.6560302031
78	0.6559413994
79	0.6557193957
80	0.6556144306
81	0.6553539982
82	0.6551975304
83	0.6551564595
84	0.6551253251
85	0.6550947372
86	0.655000774
87	0.6548583288
88	0.6547783072
89	0.6546689325
90	0.6545413364
91	0.6544556025
92	0.6543476104
93	0.6540999605
94	0.6538431015
95	0.6537815939
96	0.653443549
97	0.6531621919
98	0.652911152
99	0.6527372589
100	0.652523544
101	0.6523129846
102	0.6521556876
103	0.6520584278
104	0.6519334496
105	0.6515997693
106	0.6513675044
107	0.6511965956
108	0.6511282286
109	0.6509239245
110	0.6507408861
111	0.6505870314
112	0.6504049989
113	0.6500951035
114	0.6499161555
115	0.6498059726
116	0.6495895011
117	0.6494885809
118	0.6492955783
119	0.6491904596
120	0.6491042303
121	0.6488942027
122	0.6487251977
123	0.648645886
124	0.6485599889
125	0.6484184788
126	0.6483723101
127	0.6481926449
128	0.6478238942
129	0.6474463434
130	0.6473683208
131	0.6472369742
132	0.6471702113
133	0.6469910615
134	0.6469256933
135	0.6468077811
136	0.6467607914
137	0.6466671233
138	0.6465630786
139	0.6464823112
140	0.6464590581
141	0.6463468775
142	0.6462562999
143	0.6461740401
144	0.6461073716
145	0.6459989358
146	0.6458997093
147	0.645837509
148	0.6457124307
149	0.6456589259
150	0.6456018472
151	0.6455201453
152	0.6454377421
153	0.6453681737
154	0.6453229072
155	0.6450190691
156	0.6449206677
157	0.6448558733
158	0.6448053534
159	0.6446593022
160	0.64463242
161	0.6445583105
162	0.6444583717
163	0.6443965097
164	0.6443341045
165	0.6440829152
166	0.6440586207
167	0.6439952262
168	0.6439671841
169	0.6438737187
