iter	Passed	Remaining
0	61	61243
1	62	31011
2	62	20921
3	63	15917
4	64	12870
5	65	10881
6	67	9614
7	68	8504
8	69	7650
9	71	7124
10	72	6539
11	74	6113
12	75	5704
13	76	5354
14	76	5054
15	78	4816
16	79	4591
17	80	4383
18	81	4226
19	82	4058
20	84	3924
21	85	3787
22	86	3666
23	86	3536
24	87	3419
25	88	3329
26	89	3238
27	90	3151
28	91	3065
29	92	2999
30	93	2931
31	94	2856
32	96	2826
33	97	2763
34	98	2713
35	99	2656
36	100	2617
37	101	2580
38	102	2526
39	103	2478
40	104	2445
41	106	2421
42	106	2372
43	107	2343
44	108	2304
45	109	2268
46	109	2229
47	111	2209
48	112	2186
49	113	2163
50	115	2140
51	116	2116
52	116	2086
53	117	2066
54	119	2047
55	120	2024
56	121	2006
57	121	1979
58	123	1964
59	123	1940
60	124	1922
61	126	1908
62	127	1889
63	128	1877
64	129	1857
65	130	1842
66	130	1823
67	131	1807
68	132	1787
69	133	1778
70	134	1766
71	136	1754
72	137	1745
73	138	1733
74	139	1723
75	140	1711
76	142	1704
77	143	1695
78	144	1687
79	146	1679
80	148	1680
81	149	1672
82	151	1669
83	151	1656
84	152	1642
85	153	1630
86	154	1619
87	155	1612
88	156	1605
89	158	1598
90	159	1592
91	160	1586
92	162	1584
93	163	1578
94	165	1578
95	166	1570
96	167	1563
97	169	1557
98	170	1551
99	171	1545
100	172	1539
101	174	1538
102	175	1531
103	177	1525
104	178	1519
105	179	1513
106	180	1508
107	181	1501
108	183	1496
109	184	1493
110	185	1487
111	186	1482
112	188	1477
113	189	1475
114	191	1472
115	192	1467
116	193	1463
117	195	1458
118	197	1460
119	198	1456
120	199	1451
121	201	1448
122	202	1445
123	204	1441
124	205	1437
125	206	1433
126	207	1428
127	209	1424
128	210	1420
129	211	1415
130	212	1411
131	213	1406
132	215	1402
133	216	1398
134	217	1394
135	219	1393
136	220	1389
137	221	1385
138	223	1382
139	224	1379
140	225	1375
141	227	1372
142	228	1369
143	229	1365
144	231	1362
145	232	1359
146	234	1358
147	235	1354
148	236	1350
149	237	1346
150	238	1343
151	240	1341
152	241	1337
153	242	1334
154	244	1334
155	246	1330
156	247	1327
157	248	1326
158	250	1323
159	254	1338
160	257	1342
161	259	1343
162	261	1344
163	263	1345
164	265	1344
165	268	1348
166	270	1348
167	272	1348
168	274	1350
169	275	1347
170	278	1351
171	280	1351
172	282	1351
173	285	1353
174	286	1350
175	288	1349
176	289	1346
177	290	1342
178	291	1339
179	293	1335
180	294	1331
181	295	1327
182	296	1324
183	297	1321
184	299	1317
185	300	1314
186	301	1310
187	302	1307
188	303	1304
189	305	1304
190	307	1301
191	308	1298
192	310	1298
193	311	1294
194	312	1291
195	314	1288
